distribution,param_target_mean,param_mu_ln,param_sigma_ln,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"LogNormal(E≈25.2,σ_ln=0.12)",25.154929577464788,3.2178876475373626,0.11971830985915494,25.062010151486856,2.9633974704679873,30.9,17.01498906879386,52.08501093120615,0.8768,350531.8409145405
"LogNormal(E≈25.2,σ_ln=0.14)",25.154929577464788,3.21543054577184,0.1387323943661972,25.042690792196968,3.482956863208648,31.5,16.892234187839744,51.60776581216025,0.864,340143.4086454834
"LogNormal(E≈25.2,σ_ln=0.15)",25.154929577464788,3.213591624922802,0.15140845070422537,25.1620836832965,3.773085242813633,31.6,16.87175830521343,51.528241694786566,0.8592,337224.3162288792
"LogNormal(E≈25.2,σ_ln=0.16)",25.154929577464788,3.2115920216694795,0.16408450704225352,25.059605941661577,4.0700175320989835,31.5,16.892234187839744,51.60776581216025,0.8528,335085.99408896785
"LogNormal(E≈25.2,σ_ln=0.18)",25.154929577464788,3.208291337281461,0.1830985915492958,25.170667143837615,4.67454539461911,33.7,16.440640831365943,49.85935916863406,0.8672,324968.86191107746
"LogNormal(E≈25.2,σ_ln=0.20)",25.154929577464788,3.2058900280174263,0.19577464788732396,25.234082386913613,4.992837692571025,33.2,16.543484546962212,50.25651545303778,0.8512000000000001,321745.30504794104
"LogNormal(E≈25.2,σ_ln=0.21)",25.154929577464788,3.20198678461334,0.2147887323943662,25.27303564521009,5.49397814223033,34.6,16.25520641861591,49.144793581384086,0.8568,313797.17191385
"LogNormal(E≈25.2,σ_ln=0.23)",25.154929577464788,3.1991837693385925,0.2274647887323944,25.282268288403763,5.92830769562779,33.5,16.48179324697925,50.01820675302075,0.8344,312234.27372711303
"LogNormal(E≈25.2,σ_ln=0.25)",25.154929577464788,3.1946779669184378,0.24647887323943662,25.021090701123608,6.098132643368954,33.5,16.48179324697925,50.01820675302075,0.8216,306677.467994003
"LogNormal(E≈25.2,σ_ln=0.26)",25.154929577464788,3.1914732456329786,0.2591549295774648,25.573732668859208,7.139933379384323,33.7,16.440640831365943,49.85935916863406,0.808,299371.35657766444
"LogNormal(E≈25.2,σ_ln=0.28)",25.154929577464788,3.1863648841967556,0.27816901408450706,25.35749447801789,7.133788798928699,32.5,16.68725805183303,50.81274194816697,0.7848,297527.14554107306
"LogNormal(E≈25.2,σ_ln=0.29)",25.154929577464788,3.1827584569005842,0.2908450704225352,25.400213185090557,7.450154678790193,32.8,16.625670338476702,50.574329661523294,0.7808,293715.7404397384
"LogNormal(E≈25.2,σ_ln=0.30)",25.154929577464788,3.178991347200128,0.30352112676056336,25.38386324719255,8.062518742017113,34.5,16.27583045536102,49.22416954463898,0.7984,289690.48346725275
"LogNormal(E≈25.2,σ_ln=0.32)",25.154929577464788,3.1730394031414098,0.32253521126760565,25.87296634148759,8.923420882046447,34.9,16.193303753946083,48.90669624605392,0.796,285919.6225101115
"LogNormal(E≈25.2,σ_ln=0.34)",25.154929577464788,3.168870587430241,0.3352112676056338,25.327722984838022,9.035531925223772,34.8,16.213943077784222,48.98605692221578,0.7976,287283.22175891703
"LogNormal(E≈25.2,σ_ln=0.35)",25.154929577464788,3.1623160843554543,0.3542253521126761,25.279657385489365,9.513624059830963,35.0,16.172659314601315,48.82734068539868,0.7896,282537.56941843574
"LogNormal(E≈25.2,σ_ln=0.37)",25.154929577464788,3.1577455626335738,0.36690140845070424,24.90023789610703,9.724554243360597,32.7,16.646204478009523,50.653795521990475,0.7648,287338.21836500376
"LogNormal(E≈25.2,σ_ln=0.39)",25.154929577464788,3.1505885005427188,0.38591549295774646,25.321466930325986,10.182061442020801,34.2,16.3376721487054,49.4623278512946,0.7728,280803.74678875145
"LogNormal(E≈25.2,σ_ln=0.40)",25.154929577464788,3.145616272810126,0.39859154929577467,24.752872347510426,9.697839704415303,33.2,16.543484546962212,50.25651545303778,0.7736000000000001,287854.990583984
"LogNormal(E≈25.2,σ_ln=0.42)",25.154929577464788,3.1378566517032027,0.4176056338028169,25.1579806833986,10.505780149402296,32.2,16.748801787096248,51.05119821290374,0.7336,276773.7425168069
"LogNormal(E≈25.2,σ_ln=0.43)",25.154929577464788,3.132482717959898,0.43028169014084505,25.047056352511778,10.801243330245077,33.9,16.399468421251058,49.700531578748944,0.7656000000000001,279710.6696802629
"LogNormal(E≈25.2,σ_ln=0.45)",25.154929577464788,3.1241205378369066,0.44929577464788734,25.214002819918896,11.872136681301683,33.6,16.461219533718957,49.93878046628104,0.736,268877.6610273281
"LogNormal(E≈25.2,σ_ln=0.46)",25.154929577464788,3.1183448980828894,0.4619718309859155,25.261063621417364,12.914387598152187,32.0,16.78980663328829,51.21019336671171,0.7312000000000001,276981.19435761176
"LogNormal(E≈25.2,σ_ln=0.47)",25.154929577464788,3.1124085759245874,0.47464788732394364,25.764185001667382,13.20923505425708,34.8,16.213943077784222,48.98605692221578,0.7488,266647.0366763755
"LogNormal(E≈25.2,σ_ln=0.49)",25.154929577464788,3.1032028131791005,0.4936619718309859,25.02659207880052,13.498811342254847,33.4,16.502361980638824,50.09763801936118,0.7368,270503.25585162075
"LogNormal(E≈26.2,σ_ln=0.06)",26.16901408450704,3.262989055623482,0.056338028169014086,26.265443900959355,1.4218994659112647,29.4,17.321133176669385,53.278866823330624,0.888,367364.5728441871
"LogNormal(E≈26.2,σ_ln=0.08)",26.16901408450704,3.2617370718900958,0.07535211267605635,26.17548684185646,1.902599347059934,30.1,17.17839691269233,52.72160308730766,0.8864000000000001,361146.2839639447
"LogNormal(E≈26.2,σ_ln=0.09)",26.16901408450704,3.260701563062482,0.08802816901408451,26.246434690241284,2.3508677889465517,31.2,16.95363309296943,51.84636690703057,0.8832,351132.9726902314
"LogNormal(E≈26.2,σ_ln=0.11)",26.16901408450704,3.2588470203130275,0.10704225352112676,26.27030256573436,2.785970672615606,31.1,16.974089843147585,51.92591015685242,0.864,343169.71590924036
"LogNormal(E≈26.2,σ_ln=0.12)",26.16901408450704,3.2574098054747016,0.11971830985915494,25.921590788574594,3.086327184774452,32.0,16.78980663328829,51.21019336671171,0.8776,342448.9827246171
"LogNormal(E≈26.2,σ_ln=0.14)",26.16901408450704,3.254952703709179,0.1387323943661972,26.24235626522176,3.5673718448681906,32.0,16.78980663328829,51.21019336671171,0.8576,333505.2957892339
"LogNormal(E≈26.2,σ_ln=0.15)",26.16901408450704,3.253113782860141,0.15140845070422537,26.033288295808596,4.018519313544897,32.5,16.68725805183303,50.81274194816697,0.848,325513.531369559
"LogNormal(E≈26.2,σ_ln=0.16)",26.16901408450704,3.2511141796068186,0.16408450704225352,26.179115644013397,4.235056976277246,33.4,16.502361980638824,50.09763801936118,0.8576,323050.4780379343
"LogNormal(E≈26.2,σ_ln=0.18)",26.16901408450704,3.2478134952188,0.1830985915492958,26.143989754548304,4.807542914316045,34.8,16.213943077784222,48.98605692221578,0.8648,315700.2635119251
"LogNormal(E≈26.2,σ_ln=0.20)",26.16901408450704,3.2454121859547653,0.19577464788732396,26.173710895402987,5.393382557162262,34.6,16.25520641861591,49.144793581384086,0.8488,310400.37292305776
"LogNormal(E≈26.2,σ_ln=0.21)",26.16901408450704,3.241508942550679,0.2147887323943662,26.26886944492239,5.786207894535525,33.8,16.420057130395705,49.7799428696043,0.8248,305920.3782088834
"LogNormal(E≈26.2,σ_ln=0.23)",26.16901408450704,3.2387059272759315,0.2274647887323944,26.26903328081034,5.986668954401721,33.4,16.502361980638824,50.09763801936118,0.8104,302518.78195189126
"LogNormal(E≈26.2,σ_ln=0.25)",26.16901408450704,3.234200124855777,0.24647887323943662,25.956284182510736,6.530239084728856,34.9,16.193303753946083,48.90669624605392,0.8224,297060.67531697947
"LogNormal(E≈26.2,σ_ln=0.26)",26.16901408450704,3.2309954035703177,0.2591549295774648,25.888968215340732,6.900906709393085,33.5,16.48179324697925,50.01820675302075,0.8008,297647.6586776991
"LogNormal(E≈26.2,σ_ln=0.28)",26.16901408450704,3.2258870421340946,0.27816901408450706,26.177656329590057,7.07844874978403,35.1,16.152009749787776,48.74799025021222,0.8096,290262.3562175072
"LogNormal(E≈26.2,σ_ln=0.29)",26.16901408450704,3.2222806148379233,0.2908450704225352,25.703027017856787,7.459035977752543,34.7,16.23457729604318,49.06542270395681,0.8112,293734.7064083341
"LogNormal(E≈26.2,σ_ln=0.30)",26.16901408450704,3.218513505137467,0.30352112676056336,26.278523338297116,7.7799644435737285,35.2,16.13135504950848,48.668644950491526,0.8,285538.0447670778
"LogNormal(E≈26.2,σ_ln=0.32)",26.16901408450704,3.212561561078749,0.32253521126760565,26.229810493030985,8.554678257685227,35.8,16.00731843878422,48.19268156121578,0.8064,284057.9790084854
"LogNormal(E≈26.2,σ_ln=0.34)",26.16901408450704,3.20839274536758,0.3352112676056338,26.094321379476913,9.193822968969839,33.9,16.399468421251058,49.700531578748944,0.764,279021.6191689144
"LogNormal(E≈26.2,σ_ln=0.35)",26.16901408450704,3.2018382422927933,0.3542253521126761,26.410465399820076,10.206397268452665,33.6,16.461219533718957,49.93878046628104,0.744,272343.72256023384
"LogNormal(E≈26.2,σ_ln=0.37)",26.16901408450704,3.197267720570913,0.36690140845070424,26.260881360137805,10.283738333092785,34.6,16.25520641861591,49.144793581384086,0.7568,271337.1845289469
"LogNormal(E≈26.2,σ_ln=0.39)",26.16901408450704,3.190110658480058,0.38591549295774646,26.524482077268285,11.116072345759418,35.3,16.110695203731403,48.58930479626859,0.7648,270115.4121141977
"LogNormal(E≈26.2,σ_ln=0.40)",26.16901408450704,3.185138430747465,0.39859154929577467,26.519507433751585,10.84702187317167,35.4,16.090030202389322,48.50996979761067,0.7592,267117.61524917284
"LogNormal(E≈26.2,σ_ln=0.42)",26.16901408450704,3.1773788096405418,0.4176056338028169,26.021794043111438,11.767372100667405,34.2,16.3376721487054,49.4623278512946,0.7512,271557.67933192296
"LogNormal(E≈26.2,σ_ln=0.43)",26.16901408450704,3.1720048758972372,0.43028169014084505,26.37811240602548,11.29706822913048,34.9,16.193303753946083,48.90669624605392,0.7536,268026.4164869598
"LogNormal(E≈26.2,σ_ln=0.45)",26.16901408450704,3.1636426957742456,0.44929577464788734,25.460533261030314,12.010156472935416,33.1,16.5640383984489,50.3359616015511,0.7456,276274.5880276649
"LogNormal(E≈26.2,σ_ln=0.46)",26.16901408450704,3.1578670560202284,0.4619718309859155,25.983845590538113,12.6731849285717,32.2,16.748801787096248,51.05119821290374,0.704,263588.7605395747
"LogNormal(E≈26.2,σ_ln=0.47)",26.16901408450704,3.1519307338619265,0.47464788732394364,26.312321980274046,13.194003874845786,34.3,16.31706331063222,49.38293668936778,0.7392,265781.38735352043
"LogNormal(E≈27.2,σ_ln=0.06)",27.183098591549296,3.3006312608385717,0.06267605633802817,27.196831548948342,1.7318894970896577,31.1,16.974089843147585,51.92591015685242,0.8888,354455.14293996856
"LogNormal(E≈27.2,σ_ln=0.08)",27.183098591549296,3.2997564344152432,0.07535211267605635,27.380336329385777,1.9787534097665624,32.1,16.769306635211723,51.13069336478828,0.8912,347752.6203430948
"LogNormal(E≈27.2,σ_ln=0.09)",27.183098591549296,3.2981429152722157,0.0943661971830986,27.188810777241336,2.5609707046581462,32.2,16.748801787096248,51.05119821290374,0.88,341985.9506744684
