speed_pct,research_pct,scale_pct,research_value,scale_value,gross_research_times_scale,pnl_mult_0.1,pnl_mult_0.2,pnl_mult_0.3,pnl_mult_0.4,pnl_mult_0.5,pnl_mult_0.6,pnl_mult_0.7,pnl_mult_0.8,pnl_mult_0.9
4.3,22.307970419990014,73.39202958000999,136455.60798237077,5.1374420706007,701032.7812180283,20103.278121802825,90206.55624360565,160309.8343654085,230413.1124872113,300516.39060901414,370619.668730817,440722.94685261976,510826.2249744226,580929.5030962254
4.4,22.288546829005124,73.31145317099487,136419.47922398016,5.131801721969641,700077.718391823,20007.7718391823,90015.5436783646,160023.3155175469,230031.0873567292,300038.8591959115,370046.6310350938,440054.40287427604,510062.1747134584,580069.9465526408
4.5,22.26912009062122,73.23087990937879,136383.31445853258,5.126161593656515,699122.908592909,19912.290859290908,89824.58171858182,159736.87257787268,229649.16343716363,299561.4542964545,369473.74515574536,439386.0360150363,509298.32687432726,579210.6177336181
4.6,22.249690200678188,73.15030979932182,136347.11361323248,5.120521685952528,698168.35207359,19816.835207359007,89633.67041471801,159450.505622077,229267.34082943603,299084.176036795,368901.011244154,438717.846451513,508534.68165887205,578351.5168662311
4.7,22.230257155006026,73.06974284499397,136310.87661506212,5.114881999149578,697214.0490866804,19721.404908668046,89442.80981733609,159164.2147260041,228885.61963467218,298607.0245433402,368328.4294520082,438049.83436067624,507771.23926934437,577492.6441780124
4.8,22.210820949424775,72.98917905057523,136274.60339078057,5.109242533540266,696259.9998855067,19625.99998855067,89251.99997710134,158877.999965652,228503.99995420268,298129.99994275335,367755.999931304,437381.9999198546,507007.99990840536,576633.999896956
4.9,22.19138157974451,72.90861842025548,136238.293866923,5.103603289417883,695306.2047239083,19530.62047239083,89061.24094478166,158591.8614171725,228122.48188956332,297653.10236195417,367183.722834345,436714.3433067358,506244.96377912664,575775.5842515175
5.0,22.171939041765306,72.82806095823469,136201.94796979948,5.097964267076428,694352.6638562406,19435.266385624054,88870.53277124811,158305.79915687218,227741.06554249622,297176.3319281203,366611.59831374435,436046.86469936837,505482.13108499243,574917.3974706165
5.1,22.152493331277178,72.74750666872282,136165.56562549438,5.092325466810597,693399.3775373746,19339.937753737468,88679.87550747494,158019.81326121237,227359.75101494987,296699.6887686873,366039.62652242475,435379.5642761622,504719.50202989974,574059.4397836372
5.2,22.13304444406007,72.66695555593994,136129.14675986514,5.0866868889157955,692446.3460227001,19244.634602270016,88489.26920454003,157733.90380681,226978.53840908007,296223.17301135004,365467.80761362,434712.44221589004,503957.07681816013,573201.7114204301
