distribution,param_skew_a,param_skew_loc,param_skew_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"SkewNormal(a=-9.8,loc=56.0,scale=7.0)",-9.777777777777779,56.0,7.0,50.5099810306279,4.148477024216422,56.5,11.5945781503339,31.905421849666098,0.8904,168310.9388552092
"SkewNormal(a=-9.8,loc=60.0,scale=7.0)",-9.777777777777779,60.0,7.0,54.31613508880357,4.3532490430748645,60.4,10.727531278934562,28.872468721065438,0.888,141478.13734650507
"SkewNormal(a=-9.8,loc=64.0,scale=7.0)",-9.777777777777779,64.0,7.0,58.72634648306209,4.139184481087469,64.4,9.823033712434944,25.776966287565045,0.8888,115525.01314278398
"SkewNormal(a=-9.8,loc=68.0,scale=7.0)",-9.777777777777779,68.0,7.0,62.510385209661806,4.234034910143952,68.2,8.947475969473093,22.852524030526908,0.8832,90656.40057239687
"SkewNormal(a=-8.7,loc=32.0,scale=7.0)",-8.666666666666666,32.0,7.0,26.53233325161855,4.258845808132892,32.6,16.66673371272615,50.73326628727386,0.8896000000000001,343159.8384749214
"SkewNormal(a=-8.7,loc=36.0,scale=7.0)",-8.666666666666666,36.0,7.0,30.245912926895276,4.466774125441637,36.6,15.841644338899476,47.55835566110053,0.8912,313069.13970363705
"SkewNormal(a=-8.7,loc=40.0,scale=7.0)",-8.666666666666666,40.0,7.0,34.17012353705468,4.182555027364923,40.5,15.02903123027293,44.470968769727065,0.8888,282655.6781017704
"SkewNormal(a=-8.7,loc=44.0,scale=7.0)",-8.666666666666666,44.0,7.0,38.44963396523283,4.123210778122092,44.7,14.144126919344583,41.15587308065541,0.892,252642.03002756299
"SkewNormal(a=-8.7,loc=48.0,scale=7.0)",-8.666666666666666,48.0,7.0,42.72728206707246,4.369049489822746,48.7,13.291048956695935,38.008951043304066,0.8936000000000001,224028.54887615872
"SkewNormal(a=-8.7,loc=52.0,scale=7.0)",-8.666666666666666,52.0,7.0,46.39207797155516,4.301264580389154,52.4,12.492110469792909,35.107889530207096,0.8864000000000001,195642.94443952417
"SkewNormal(a=-8.7,loc=56.0,scale=7.0)",-8.666666666666666,56.0,7.0,50.512616249810506,4.151082376157953,56.3,11.638679436007909,32.0613205639921,0.8872,168890.86452138092
"SkewNormal(a=-8.7,loc=60.0,scale=7.0)",-8.666666666666666,60.0,7.0,54.56620836868978,4.119587259832264,60.3,10.749938264749803,28.950061735250202,0.8856,141622.27885637435
"SkewNormal(a=-8.7,loc=64.0,scale=7.0)",-8.666666666666666,64.0,7.0,58.51227955236111,4.375777363535385,64.0,9.914235516593969,26.085764483406024,0.8752,115525.9598419313
"SkewNormal(a=-8.7,loc=68.0,scale=7.0)",-8.666666666666666,68.0,7.0,62.382674549896244,4.403660537519712,68.1,8.970739967599235,22.929260032400776,0.8816,91016.28185786301
"SkewNormal(a=-7.6,loc=32.0,scale=7.0)",-7.555555555555555,32.0,7.0,26.244845794452594,4.49885398758522,32.9,16.60513128489011,50.494868715109895,0.8976000000000001,344351.1029944201
"SkewNormal(a=-7.6,loc=36.0,scale=7.0)",-7.555555555555555,36.0,7.0,30.445849557401484,4.343492916189158,36.5,15.862372005327076,47.637627994672926,0.8904,313506.123907842
"SkewNormal(a=-7.6,loc=40.0,scale=7.0)",-7.555555555555555,40.0,7.0,34.466445734616265,4.241539059448134,40.5,15.02903123027293,44.470968769727065,0.8848,281158.5778402863
